index,RegionName,CountyName,RegionType,StateName,State,StateCodeFIPS,county_fips,1/1/17,2/1/17,3/1/17,4/1/17,5/1/17,6/1/17,7/1/17,8/1/17,9/1/17,10/1/17,11/1/17,12/1/17,1/1/18,2/1/18,3/1/18,4/1/18,5/1/18,6/1/18,7/1/18,8/1/18,9/1/18,10/1/18,11/1/18,12/1/18,1/1/19,2/1/19,3/1/19,4/1/19,5/1/19,6/1/19,7/1/19,8/1/19,9/1/19,10/1/19,11/1/19,12/1/19,1/1/20,2/1/20,3/1/20,4/1/20,5/1/20,6/1/20,7/1/20,8/1/20,9/1/20,10/1/20,11/1/20,12/1/20,1/1/21,2/1/21,3/1/21,4/1/21,5/1/21,6/1/21,7/1/21,8/1/21,9/1/21,10/1/21,11/1/21,12/1/21,1/1/22,2/1/22,3/1/22,4/1/22,5/1/22,6/1/22,7/1/22,8/1/22,9/1/22,10/1/22,11/1/22,12/1/22,1/1/23,2/1/23,3/1/23,4/1/23,5/1/23,6/1/23,7/1/23,8/1/23,9/1/23,10/1/23,11/1/23,12/1/23
"Unemployment Rate in Palm Beach County, FL",Palm Beach County,Palm Beach,county,FL,FL,12,12099,4.8,4.4,4.1,3.9,4,4.4,4.6,4.7,4.3,4.1,4,3.7,4,3.7,3.6,3.3,3.3,4,4,4,3.7,3.6,3.4,3.3,3.8,3.3,3.3,2.9,3.1,3.6,3.8,3.8,3.5,3.3,3.1,2.8,3.1,2.8,4.4,13.5,14.1,11.6,12.4,9,8.1,6.6,6,5.6,5.5,4.9,4.7,4.5,4.3,5,4.7,4.6,4.2,3.9,3.6,3.1,3.7,3.3,3,2.7,2.8,3.3,3.2,3.2,3,2.9,2.8,2.4,2.8,2.7,2.7,2.4,2.7,3.2,3.3,3.5,3.3,3.3,3.1,3
"Unemployment Rate in Philadelphia County/City, PA",Philadelphia County/City,Philadelphia,county,PA,PA,42,42101,6.6,6.7,6.3,5.8,6.2,6.5,7.1,7.1,6.3,6,6,5.7,6.3,6.3,5.9,5.3,5.4,6.1,6.5,6.4,5.3,5.1,4.9,5,5.9,5.6,5.3,4.8,5.2,5.6,6.3,6.5,5.3,5.3,5.1,5,5.6,5.5,6.4,16.7,16.4,16.7,16.4,14.4,13.3,11.6,11.4,11.5,10.8,10.4,9.6,9.2,9,9.6,8.8,8.6,7,6.6,5.7,4.8,5.9,5.5,4.9,4.8,5,5.3,5.5,6,4.5,4.6,4.4,3.9,4.6,4.7,4.1,3.6,4,4.3,4.6,5.2,4.1,4.2,3.8,3.7
"Unemployment Rate in Pierce County, WA",Pierce County,Pierce,county,WA,WA,53,53053,5.9,5.9,5.6,5.2,5,5.1,5.1,5.4,4.9,4.8,5,5.3,5.6,5.9,5.7,5.2,4.8,5.1,4.8,5.1,4.5,4.7,5.1,5.4,5.8,6.4,5.7,5.1,4.9,5.3,5.2,5.3,4.5,4.6,4.7,4.4,5,4.7,5.6,18.5,16.1,13.1,11.7,9.6,8.5,7.2,7.4,7.6,7.7,7.9,7.2,6.2,5.8,6.4,6.1,6.1,5.4,4.8,4.7,4.5,5.5,5.6,5.2,4.7,4.6,4.7,4.4,5.2,4.4,4.5,5,4.8,5,5.6,4.8,4.2,3.9,3.9,4.2,5,4.5,4.8,5,5.5
"Unemployment Rate in Pima County, AZ",Pima County,Pima,county,AZ,AZ,4,4019,5,4.7,4.6,4.4,4.4,4.8,4.8,4.8,4.4,4.3,4.3,4.3,4.7,4.5,4.2,4.2,4,4.7,4.7,4.6,4.3,4.3,4.3,4.6,5,4.5,4.5,4.2,4.4,4.9,5,4.7,4.2,4.3,4.2,4.1,4.5,4.3,5.2,13,10.9,9.9,9.6,7.7,7.2,6.6,6.4,6.5,6.7,6.4,6,5.8,5.5,6.1,5.4,4.9,4.3,3.8,3.4,3.2,3.8,3.6,3.4,3.5,3.7,4.3,4.2,4.3,4,3.9,3.5,3.3,3.5,3.5,3.5,3.4,3.7,4.2,4.3,4.2,4.1,4.1,3.7,3.6
"Unemployment Rate in Pinellas County, FL",Pinellas County,Pinellas,county,FL,FL,12,12103,4.5,4.2,3.9,3.7,3.8,4,4,4.1,3.7,3.6,3.7,3.5,3.9,3.6,3.4,3.2,3.2,3.7,3.6,3.5,3.2,3.2,3.2,3.1,3.6,3.2,3.2,2.8,3,3.3,3.3,3.3,3,2.9,2.9,2.6,3,2.7,4.2,13.6,13.5,10.5,11,7.7,7.2,6,5.6,5.2,5.1,4.6,4.4,4.2,4.1,4.6,4.3,4.2,3.7,3.5,3.4,2.9,3.5,3,2.7,2.5,2.6,2.9,2.7,2.8,2.6,2.6,2.6,2.3,2.7,2.6,2.5,2.2,2.6,2.8,2.9,3.1,3.1,3,2.9,2.8
"Unemployment Rate in Polk County, FL",Polk County,Polk,county,FL,FL,12,12105,5.6,5.1,4.8,4.5,4.6,5,5.2,5.2,4.8,4.7,4.7,4.3,4.8,4.4,4.2,3.9,3.9,4.7,4.6,4.5,4.1,4.1,3.8,3.8,4.4,3.8,3.8,3.4,3.6,4.2,4.4,4.2,3.8,3.7,3.5,3.2,3.7,3.2,4.9,12.9,18.1,15.2,14.3,10.2,9.6,7.9,7.3,6.7,6.7,6.1,5.8,5.6,5.5,6.2,6,5.6,5,4.7,4.4,3.8,4.5,3.9,3.5,3.3,3.4,3.9,3.8,3.8,3.4,3.5,3.4,3,3.5,3.3,3.2,3,3.4,3.9,4,4.2,3.9,4,3.8,3.7
"Unemployment Rate in Prince George's County, MD",Prince George's County,Prince George,county,MD,MD,24,24033,4.3,4.2,3.9,3.6,3.7,4.3,4.3,4.3,3.9,4,3.9,3.8,4.4,4.4,4.1,3.7,3.8,4.4,4.2,4,3.6,3.7,3.4,3.6,4.5,3.9,3.7,3.1,3.3,3.8,3.8,3.7,3.3,3.3,3.2,3.1,3.5,3.5,4.3,8.7,10.4,10,9.9,9,9.2,8.8,8.6,8.3,8.3,8,7.9,7.6,7.3,7.6,7.4,7.1,5.4,5,4.6,3.6,4.4,4,3.6,3.1,3.2,3.5,3.4,3.4,2.9,3,2.7,2.3,2.8,2.7,2.2,1.7,1.9,2.1,2.2,2.4,2.2,2.4,2.2,2.2
"Unemployment Rate in Queens County, NY",Queens County,Queens,county,NY,NY,36,36081,4.4,4.3,3.9,3.6,3.8,3.9,4.3,4.3,3.9,3.8,3.5,3.5,4,3.9,3.7,3.4,3.1,3.7,3.8,3.7,3.4,3.5,3.4,3.5,4.2,3.9,3.6,3.2,3.4,3.5,3.7,3.6,3.2,3.4,3.1,2.9,3.6,3.7,4.7,13.5,23.2,18.2,17.6,15,14.3,13.1,12.3,11.6,12.5,12.1,11.2,10.9,10.1,10.7,10.2,9.7,8.4,7.9,7.3,7.2,7.5,6.8,6,5.4,5.1,5.2,5,4.7,4.1,4.5,4.5,4.4,4.9,5,4.6,4.2,4.4,4.7,4.7,4.9,4.5,4.7,4.3,4.4
"Unemployment Rate in Riverside County, CA",Riverside County,Riverside,county,CA,CA,6,6065,6,5.7,5.5,5,4.8,5.5,5.8,5.9,5.2,4.9,4.7,4.5,4.8,4.6,4.4,4,3.8,4.7,4.8,4.9,4.4,4.4,4.2,4.2,4.9,4.4,4.4,3.7,3.6,4.4,4.7,4.7,4.1,4.1,4,3.8,4.2,4,5.9,16.1,16,13.5,13.1,11,10.5,9.1,8.8,8.8,8.9,8.5,8.2,8.1,7.5,8.4,8,7.6,6.5,6.1,5.4,4.9,5.4,4.7,4.2,3.8,3.5,4.2,4.3,4.5,4,4.2,4.2,3.9,4.5,4.5,4.4,3.9,4.2,4.8,5,5.5,5.2,5.4,5.2,5.1
"Unemployment Rate in Sacramento County, CA",Sacramento County,Sacramento,county,CA,CA,6,6067,5.6,5.3,5.1,4.6,4.4,4.9,5,4.9,4.3,4.2,4.1,4,4.4,4.2,4,3.7,3.3,4.1,4.1,4,3.7,3.7,3.6,3.8,4.5,4,4.1,3.4,3.3,3.9,4,3.9,3.3,3.4,3.5,3.4,4,3.7,5.4,15.1,14.6,12.7,12.1,10.3,9.9,8.7,8.5,8.5,8.5,8.2,7.9,7.7,7.1,7.8,7.3,7,6,5.7,5.2,4.7,5.3,4.7,4.2,3.6,3.3,3.9,3.8,4,3.6,3.8,4,3.7,4.5,4.5,4.4,3.8,3.9,4.4,4.5,4.8,4.5,4.7,4.7,4.7
