state,county,fips_code,index,year,month,total_population,pct_male,pct_female,pct_age18over,pct_age65over,pct_race_white,pct_race_black,pct_race_native_amer,pct_race_asian,pct_race_pacific,pct_race_others,pct_hispanic,median_household_income,remote_imputed,TOP_METRO_1,TOP_METRO_0,neighbour_top_metro_0,neighbour_top_metro_1,neighbour_level_0.0,neighbour_level_1.0,neighbour_level_2.0,neighbour_level_3.0,neighbour_level_4.0,neighbour_level_5.0,neighbour_level_9.0,housing_24_predicted,housing_Dec23,housing_pct_increase_24
IA,Osceola County,19143,51910,2024,12,-0.2675879975,0.01136828877,-0.01136828877,-0.7653822317,-0.9990918596,-0.9949368113,-0.1009943598,-0.4321790855,-0.1733448124,0.02719447101,3.788782478,3.385579772,-0.3432679561,-0.9770762901,0,1,1,0,0,0,0,0,0,0,1,441516.9053,140735.6792,2.137206627
ID,Lewis County,16061,40253,2024,12,-0.6245410894,0.1708398888,-0.1708398888,-0.07554842111,1.006904252,1.070364245,-0.9337202499,0.1335448617,-0.5554176902,0.1379669071,-0.1890653508,-0.213798693,-0.6475077094,-0.3418834342,0,1,1,0,0,0,0,0,0,0,1,229190.5304,256849.7786,-0.1076864783
IL,Mason County,17125,43545,2024,12,-0.6425750219,0.1176826888,-0.1176826888,0.6471346186,1.936512206,0.6396330086,-0.9816469198,1.854288535,-0.4338490473,0.2487393432,-0.2455688711,-0.09219806921,-0.6688987423,-0.2376075303,0,1,1,0,0,0,0,0,0,0,1,272267.4947,86323.32648,2.154043128
IN,Knox County,18083,37897,2024,12,-0.2037510234,-0.04178891125,0.04178891125,0.1872454115,-0.2651908431,0.7335103294,-0.466435218,-0.4557509167,-0.3991151493,-0.3051228373,-0.5054850645,-0.6434542306,-0.2294136742,-1.002909273,0,1,1,0,0,0,0,0,0,0,1,252914.7204,137739.2238,0.8361851719
KS,Harper County,20077,28598,2024,12,-0.7086777847,-0.09494611126,0.09494611126,-1.126723752,0.2974666029,0.6009776413,-1.035564424,0.3221195108,-0.937490568,-0.4158952734,0.545480413,0.7995398389,-0.7290831714,-0.9964824033,0,1,1,0,0,0,0,0,0,0,1,232847.9193,79750.84656,1.919692133
KY,Fulton County,21075,25429,2024,12,0.3834415331,-0.4670465113,0.4670465113,0.2529438696,-1.096945328,-1.547156345,1.66031076,-0.4321790855,0.6776356882,-0.3051228373,-0.3472752077,-0.497533482,0.4210134695,-1.187941662,0,1,1,0,0,0,0,0,0,0,1,273093.2422,67076.66992,3.071359573
LA,West Carroll Parish,22123,70079,2024,12,-0.7020509617,-0.09494611126,0.09494611126,-0.5682868573,0.4931735406,0.5236669065,-0.1369393622,-0.6678973969,-0.6943532821,-0.3051228373,-1.081820972,-0.8218018122,-0.7226238887,-1.479393856,0,1,1,0,0,0,0,0,0,0,1,112434.3165,117994.4949,-0.04712235442
MA,Suffolk County,25025,65801.5,2024,12,0.06805835595,-0.6265181114,0.6265181114,1.829706865,-0.9012383908,-0.7519602164,0.4561531783,-0.3614635921,0.938139923,-0.0835779651,1.291326881,0.7346861729,0.1046141794,0.2686946673,1,0,0.9285714286,0.07142857143,0.01785714286,0.07142857143,0.1071428571,0.2321428571,0.25,0.3214285714,0,590906.3849,693215.0193,-0.1475857152
MD,Baltimore City,24510,4564.5,2024,12,-0.1382035413,-1.795976512,1.795976512,0.1872454115,-0.3875076792,-2.298174911,2.654789162,-0.2907480987,-0.3122804043,-0.4158952734,-0.4376808401,-0.497533482,-0.08021429818,-0.002370586317,1,0,0.9418604651,0.05813953488,0.01162790698,0.02325581395,0.1046511628,0.1860465116,0.3023255814,0.3720930233,0,193801.5425,179276.1921,0.08102219405
ME,Aroostook County,23003,3251,2024,12,-0.6436287355,0.3834686889,-0.3834686889,0.9756269093,1.936512206,1.346474012,-0.9636744186,-0.05502978736,-0.7985549761,0.02719447101,-1.070520267,-1.01636281,-0.6500235623,-0.1807944163,0,1,1,0,0,0,0,0,0,0,1,215552.588,161732.4343,0.3327727916
MI,Osceola County,26133,51909,2024,12,-0.2675879975,0.01136828877,-0.01136828877,-0.7653822317,-0.9990918596,-0.9949368113,-0.1009943598,-0.4321790855,-0.1733448124,0.02719447101,3.788782478,3.385579772,-0.3432679561,-0.6154935386,0,1,1,0,0,0,0,0,0,0,1,454054.1521,172200.0471,1.636782972
MN,Koochiching County,27071,37925,2024,12,-0.6997445674,0.5429402889,-0.5429402889,1.205571513,2.303462715,1.274685472,-0.9996194211,0.2042603551,-0.7811880271,-0.4158952734,-0.9688139309,-1.048789643,-0.7178033034,0.1988906005,0,1,1,0,0,0,0,0,0,0,1,239761.8667,143787.8017,0.6674701453
MO,Knox County,29103,37900,2024,12,-0.2037510234,-0.04178891125,0.04178891125,0.1872454115,-0.2651908431,0.7335103294,-0.466435218,-0.4557509167,-0.3991151493,-0.3051228373,-0.5054850645,-0.6434542306,-0.2294136742,-0.5494387175,0,1,1,0,0,0,0,0,0,0,1,268638.0154,132538.8859,1.026861879
MS,Pike County,28113,54135,2024,12,-0.7016398306,-0.2012605113,0.2012605113,-0.1083976502,0.7133438456,1.097975222,-0.7719677389,-0.2671762676,-0.885389721,-0.4158952734,-0.7767019619,-0.6110273976,-0.7220659273,-1.834710736,0,1,1,0,0,0,0,0,0,0,1,143292.1918,104207.1105,0.3750711549
MT,Petroleum County,30069,52750,2024,12,-0.7115770198,2.562913889,-2.562913889,1.336968429,1.055830987,1.379607184,-1.059527758,-0.6914692281,-0.6075185372,-0.4158952734,-1.285233645,-1.162283559,-0.7316618577,-0.8010321581,0,1,1,0,0,0,0,0,0,0,1,263331.472,191583.8085,0.3744975319
